Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
MCT,Ethash,PoS,1618033.0,1618033,-0.26971671870816055,0.023213280352907213,0.09498089815235246,1717 Masonic Commemorative Token,0
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000,-0.31176381959641375,0.12824127316554929,-0.30429352376879115,My Big Coin,0
TRTL,CryptoNight,PoW,53139835213.77,1000000000000,8.048089464417854,-2.467716130190337,0.26617311457473136,TurtleCoin,2
MUN,SkunkHash,PoW,4818338.98949984,16600000,-0.11206222105422711,-2.0072991883662215,0.365790665924073,MUNcoin,2
USX,Scrypt,PoW/PoS,234846265.78215697,232000000,-0.3302194172382457,0.9107602390471595,-0.5845482619352305,Unified Society USDEX,0
NBR,CryptoNight,PoW,133932467.77410801,336000000,0.31111390364638575,-2.204358540289378,0.4203439595364022,Niobio Cash,2
SSS,Scrypt,PoW,10000000000.0,10000000000,0.02559965284308274,-1.1567775804470293,0.00015670889099776635,ShareChain,2
TRF,Dagger,PoW,107325266.02778299,100000000,-0.1557382773202064,-2.140913307247853,0.4302414450288697,Travelflex,2
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000,-0.17940171100791133,-1.1653279996063388,0.26331930065751563,KREDS,2
TOKC,X13,PoS,230298925.0,800000000,-0.2205874063684439,1.7308876651546157,-0.3963866049350026,Tokyo Coin,0
BBP,Proof-of-BibleHash,POBh,1772091549.88818,5200000000,-0.18907163043545563,0.9879630352765237,16.07481844892245,BiblePay,3
LCC,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000,-0.37565261489333684,3.5016378326347137,14.309754398713936,LitecoinCash,3
FLIP,Scrypt,PoW,12446100.00278,40000000,-0.16703391755632374,-1.160205458889966,0.0054778224462834115,BitFlip,2
LOT,Scrypt,PoW,14491014421.0,18406979840,0.14007893619987902,-1.1564043669521793,-0.0027584836744066104,LottoCoin,2
CIF,X11,PoW,211297638.500483,500000000,-0.22505668721474018,-0.9499237835111312,0.08649496264506275,Crypto Improvement Fund,2
SPD,C11,PoW/PoS,11251342.1879021,19340594,-0.3595537066519281,0.8947160219518873,-0.4654890846150025,Stipend,0
POA,Proof-of-Authority,PoA,204479039.0,252460800,-0.4081142605149529,6.886158296585166,12.38110289874229,Poa Network,3
PUSHI,X11,PoW/PoS,2167827.1,25000000,-0.39824363224102166,1.1209641823053111,-0.50326973631853,Pushi,0
ELP,XEVAN,PoW/PoS,419275.38,60000000,-0.32215324317876587,1.3898986827065836,-0.511999792983888,Ellerium,0
VLX,Scrypt,PoS,25570013.1348022,124000000,-0.2888984675932991,0.8734442541402513,-0.28728801105696034,Velox,0
ONT,VBFT,PoS,650848625.0,1000000000,-0.30285661091258037,1.9208412130166301,-0.10176113978254504,Ontology,0
CLO,Ethash,PoW,247612453.0,6500000000,-0.09800550404051776,-2.01222805289568,0.38676755296190146,Callisto Network,2
TUBE,CryptoNight,PoW,80049082.9057215,1000000000,0.31516473053841565,-2.204590465748762,0.4202772042037761,BitTube,2
PSD,Scrypt,PoW,4070212.1493015997,21000000,-0.1672709752436457,-1.1602051674701002,0.005483701049423055,Poseidon,2
ADK,IMesh,PoW,25000000.0,25000000,-0.1657110003094149,-2.190236560029464,0.41011765163639646,Aidos Kuneen,2
BSX,NIST5,PoW/PoS,13787854.6277781,50000000,-0.3637002649205816,1.4566021553592239,-0.6162587985195053,Bitspace,0
BRIA,Scrypt,PoW/PoS,845637.81347436,3000000,-0.33470178651046323,0.9106786314594058,-0.5844241716282085,Briacoin,0
IC,Scrypt,PoW/PoS,1182153.5,5000000,-0.33468349217986865,0.9106782520123328,-0.5844245722920395,Ignition,0
BTL,Equihash,PoW,71355477.0,70000000,-0.15071853855095055,-2.0513173840276253,0.3222142813327828,Bitrolium,2
MEDIC,Scrypt,PoS,267297676.3125,500000000,-0.2832792045624535,0.8734870919971985,-0.287434745105848,MedicCoin,0
ALPS,Lyra2Z,PoW,27340501.6514783,300000000,-0.15918092091578281,-2.1559109620112835,0.458899268087113,Alpenschillling,2
BITG,Green Protocol,PoS,9803691.3618195,21000000,-0.3517716813028501,1.5686853733538513,-0.16833341860708026,Bitcoin Green,0
DEV,PoS,PoS,21876586.8530324,88000000,-0.35941341100460794,1.9389032627829783,-0.14628043272047772,Deviant Coin,0
ABJ,Scrypt,PoW/PoS,9880502.37178894,30000000,-0.3343999442830376,0.9106763826787696,-0.5844313779592294,Abjcoin,0
SEM,Semux BFT consensus,DPoS,1231147.0,100000000,3.9215772976090086,1.4356824818474936,0.030640634366564952,Semux,0
FTO,X11,PoW,31801461.1867843,100000000,-0.230085995608757,-0.9499196710934524,0.0866199878177119,FuturoCoin,2
CARE,Quark,PoW/PoS,139739596.506702,200000000,-0.3943740452024932,1.6891283170364182,-0.5418889665269804,Carebit,0
NZL,PoS,PoS,11075254.0929996,80000000,-0.3596020848118693,1.9388987314359007,-0.14627504667695165,Zealium,0
XMC,CryptoNight,PoW,16016864.0,18400000,0.30742117599242297,-2.2043395340609284,0.4204333844477758,Monero Classic,2
PROTON,X16R,PoS,4403800.0,45000000,-0.32097928034082274,0.7954270668813891,-0.12958615408360064,Proton,0
DEAL,Scrypt,PoW/PoS,1404157529.46026,5121951220,-0.2812572426621187,0.9100542029212179,-0.5856665375974939,iDealCash,0
JUMP,NIST5,PoW,21069346.252259802,21000000,-0.19655321705129186,-0.614265071772417,-0.02634629787620882,Jumpcoin,2
INFX,Lyra2RE,PoW,5097689.71077377,26280000,-0.14940084934027117,-2.1945575146853535,0.418548697071913,Infinex,2
XBI,XEVAN,PoS/PoW,10904963.0923455,21000000,-0.3078641843200755,0.9841835480446055,-0.08280912906361534,Bitcoin Incognito,0
KEC,Tribus,PoW,795447.0,18000000,-0.14791239380814047,-2.0379799514268213,0.37176986321584193,KEYCO,2
HWC,Scrypt,PoS,38706809.466534995,26000000,-0.2894330062756209,0.8734818007178609,-0.28728023296642696,HollyWoodCoin,0
GIN,Lyra2Z,PoW,6986399.70430446,10500000,-0.16148264900371556,-2.155837895569664,0.4589459177199079,GINcoin,2
PLTC,CryptoNight,PoW,84300.0,600000518,0.31135120560775226,-2.204522676945235,0.42036240327372376,PlatinCoin,2
LOKI,CryptoNight Heavy,PoW,19153632.0,150000000,0.5859923641884434,-2.1057365820301865,0.44354235877017834,Loki,2
NCP,CryptoNight,PoW,41294520017.0,184000000000,2.1164168124563894,-2.23264143662551,0.3794457381232342,Newton Coin,2
SIC,Scrypt,PoW/PoS,10200000000.0,10200000000,-0.13780273060618936,0.9141714077347195,-0.589861476439314,Swisscoin,0
XT3,Scrypt,PoS,7630000.0154,44000000,-0.2896849566842409,0.8734565662763195,-0.2872701921429544,Xt3ch,0
MGD,Jump Consistent Hash,PoW,135862416.039898,168000000,-0.12941341176931026,-2.05049618766554,0.4094407140010384,MassGrid,2
VIG,SHA-256D,PoW/PoS,33238183.7225834,100000000,-0.33316773437222813,1.8663933806247597,-0.7804526051178982,TheVig,0
PLURA,CryptoNight,PoW,560085952.404637,1000000000,0.3210283992606864,-2.204283355745443,0.4200851244614417,PluraCoin,2
EMAR,Scrypt,PoW/PoS,21599339.6728,84000000,-0.3338738362146343,0.9106678220495753,-0.5844432494046662,EmaratCoin,0
DKD,X15,PoS,30284196.369129,90000000,-0.19379618912094754,1.862584428427288,-0.39859807125558366,Dekado,0
LYNX,Scrypt,HPoW,77872059787.8998,92000000000,2.279039613307625,0.397899985665725,-0.4171909218014874,Lynx,0
POSQ,Quark,PoS,2716264.95302831,650000000 ,-0.3482132491299368,1.651692625144271,-0.24473184394623348,Poseidon Quark,0
BWS,SHA-256,PoS,57811001.000889,100262205,-0.264799980021143,0.7773667923755433,-0.11642446447086123,BitcoinWSpectrum,0
MUSE,DPoS,PoS,18194936.0,18081806 ,1.0183973268097855,1.5335571411637354,-0.08247198570123015,Muse,0
XMN,X16R,PoW,8125865.02097646,22075700,-0.1984758139326619,-1.2382300307131324,0.1631648153131426,Motion,2
PLUS1,HMQ1725,PoW,8645406.16776286,21000000,-0.16572736806058108,-2.1185372238136257,0.4432474217207863,PlusOneCoin,2
AXE,X11,PoW,4993030.69736615,21000000,-0.23097372086778337,-0.9499133300146703,0.08664122229340679,Axe,2
TRVC,X16R,PoW/PoS,36923120.6205934,82546564,-0.3649589706407486,0.8326509198280736,-0.4267663075275681,Trivechain,0
DTEM,Quark,PoS,7082392.24744494,21000000,-0.3526207150915484,1.6518824633703668,-0.2446499302160951,Dystem,0
GIC,Quark,PoW/PoS,5919489.76813523,5151000,-0.39739051046430257,1.689100645836251,-0.5418095042801888,Giant,0
PNY,Scrypt,PoS,1042012.45227735,16880000000,-0.17036638084735686,0.8684458514074309,-0.28950684502397395,Peony Coin,0
ABS,Lyra2REv2,PoW/PoS,13332617.9413708,52500000,-0.3617953672629133,0.9054606560873869,-0.3262006619334325,Absolute Coin,0
VITAE,Quark,PoS,66053877.6256106,100000000,-0.3513401168868239,1.6518966990358324,-0.2446840342684583,Vitae,0
HEX,Scrypt,PoW,1416663.06600024,22105263,-0.1672955500443461,-1.160207193784259,0.0054846158217259485,HexCoin,2
TPC,Scrypt,PoW/PoS,5403802.49590733,1000000000,-0.3275754947163688,0.9103850709718624,-0.5845586024903925,TPCash,0
WEBC,CryptoNight-V7,PoW,15580199.3087496,1750000000,-0.1361529449130244,-2.1279924872464893,0.43570220052356334,Webchain,2
RYO,Cryptonight-GPU,PoW,4890897.0,88188888,-0.13769439966351732,-2.0640493485863978,0.4522683740583231,Ryo,2
URALS,XEVAN,PoW,14746153.0962884,210000000,-0.15365068746309293,-0.6810172660496969,0.07788608047757216,Urals Coin,2
QWC,CryptoNight Heavy,PoW,99553110528.8022,184470000000,3.1089804917368826,-2.096869409015679,0.3791996342284717,Qwertycoin,2
ARE,X11,PoS,19269509.94,55000000,-0.3531787867309353,1.0837519888221485,-0.2061184220924749,ARENON,0
EUNO,X11,PoW/PoS,30771125.976086702,50000000,-0.3977169446185263,1.1209750474295581,-0.5032845066607491,EUNO,0
MMO,Scrypt,PoS,107763867.917675,260000000,-0.28692996956759786,0.873456396608718,-0.2873389885431129,MMOCoin,0
